emoji_handle,emoji_link,section
clap,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/clap.png,People
muscle,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/muscle.png,People
metal,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/metal.png,People
fu,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/fu.png,People
runner,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/runner.png,People
running,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/running.png,People
couple,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/couple.png,People
family,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/family.png,People
two_men_holding_hands,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/two_men_holding_hands.png,People
two_women_holding_hands,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/two_women_holding_hands.png,People
dancer,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/dancer.png,People
dancers,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/dancers.png,People
ok_woman,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/ok_woman.png,People
no_good,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/no_good.png,People
information_desk_person,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/information_desk_person.png,People
raising_hand,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/raising_hand.png,People
bride_with_veil,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/bride_with_veil.png,People
person_with_pouting_face,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/person_with_pouting_face.png,People
person_frowning,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/person_frowning.png,People
bow,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/bow.png,People
couplekiss,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/couplekiss.png,People
couple_with_heart,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/couple_with_heart.png,People
massage,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/massage.png,People
haircut,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/haircut.png,People
nail_care,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/nail_care.png,People
boy,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/boy.png,People
girl,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/girl.png,People
woman,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/woman.png,People
man,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/man.png,People
baby,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/baby.png,People
older_woman,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/older_woman.png,People
older_man,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/older_man.png,People
person_with_blond_hair,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/person_with_blond_hair.png,People
man_with_gua_pi_mao,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/man_with_gua_pi_mao.png,People
man_with_turban,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/man_with_turban.png,People
construction_worker,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/construction_worker.png,People
cop,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/cop.png,People
angel,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/angel.png,People
princess,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/princess.png,People
smiley_cat,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/smiley_cat.png,People
smile_cat,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/smile_cat.png,People
heart_eyes_cat,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/heart_eyes_cat.png,People
kissing_cat,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/kissing_cat.png,People
smirk_cat,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/smirk_cat.png,People
scream_cat,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/scream_cat.png,People
crying_cat_face,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/crying_cat_face.png,People
joy_cat,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/joy_cat.png,People
pouting_cat,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/pouting_cat.png,People
japanese_ogre,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/japanese_ogre.png,People
japanese_goblin,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/japanese_goblin.png,People
see_no_evil,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/see_no_evil.png,People
hear_no_evil,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/hear_no_evil.png,People
speak_no_evil,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/speak_no_evil.png,People
guardsman,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/guardsman.png,People
skull,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/skull.png,People
feet,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/feet.png,People
