name,number,type
23486-后台开发高级工程师（北京）,1,技术类
CSIG16-自动驾驶云平台高级后台开发工程师(北京),1,技术类
30621-腾讯社交广告Web前端开发工程师（新闻视频广告 深圳）,2,技术类
30621-腾讯社交广告高级算法工程师（新闻视频广告 深圳）,1,技术类
CSIG16-手图运营开发工程师（北京）,1,技术类
HY6-内容营销经理（深圳）,1,市场类
PCG19-腾讯视频大数据高级工程师（北京）,1,技术类
WXG02-143 微信后台策略安全工程师(广州/深圳),2,技术类
15571-Senior Technical Artist,2,技术类
TEG14-系统测试工程师(深圳),2,技术类
30621-腾讯社交广告应用开发工程师（新闻视频广告 深圳）,2,技术类
19511-腾讯游戏业务流程经理（深圳）,2,职能类
25663-游戏行业运营经理（深圳）,1,产品/项目类
23292-互娱内容运营经理（深圳）,1,内容编辑类
HY6-产品运营经理（深圳）,1,产品/项目类
15611-航海王IP动作游戏3D动画设计师（深圳）,4,设计类
PCG19-腾讯视频自然语言处理高级工程师（北京）,2,技术类
22850-腾讯视频VIP产品经理(深圳),1,产品/项目类
22850-腾讯视频VIP后台开发,1,技术类
15573-MMORPG资深手游关卡设计师（上海）,2,产品/项目类
23671-企鹅号后台开发工程师（北京）,3,技术类
WXG02-113 微信通话后台开发工程师（广州/深圳）,1,技术类
22850-腾讯视频VIP?渠道营销工具产品经理（深圳）,1,产品/项目类
30621-腾讯社交广告策略产品经理（新闻视频广告 深圳）,2,产品/项目类
15573-手游服务器开发工程师（上海）,1,技术类
20503-计算机视觉高级研究员（深圳）,1,技术类
22989-腾讯云大数据产品研发专家（北京）,3,技术类
22989-腾讯云大数据产品研发工程师（北京）,5,技术类
CB-绩效经理（深圳）,1,职能类
HY-高管秘书（深圳）,1,职能类
25928-次世代3D特效师（上海）,1,设计类
CSIG02-腾讯云教育行业方案架构师（深圳/北京）,6,技术类
25928-次世代3D角色美术(上海）,1,设计类
30626-腾讯广告KA渠道赋能经理（深圳）,1,产品/项目类
GY0-【国际业务部】搜索业务高级架构师(深圳) ,1,技术类
GY0-【国际业务部】搜索业务高级算法工程师(深圳) ,1,技术类
23518-移动游戏渠道运营经理（微信/手Q/二级渠道）,2,产品/项目类
22989-腾讯云块存储高级运营开发工程师（深圳）,1,技术类
WXG03-113 微信公众平台后台开发工程师（广州）,2,技术类
28096-腾讯音乐音频研究员（深圳）,1,技术类
28096-腾讯音乐广告推荐算法工程师（深圳）,1,技术类
GY0-【国际业务部】Program Director（Hong Kong）,2,市场类
30359-客户端开发工程师,2,技术类
25666-腾讯云西南区域泛互联网行业销售（成都）,1,市场类
24012-游戏社交Android开发负责人（深圳）,1,技术类
25664-政务生态产品运营经理（深圳）,1,产品/项目类
21309-儿童英语启蒙产品ABCmouse产品运营经理（北京）,1,产品/项目类
30625-腾讯广告金融行业高级销售经理-组长（北京）,1,市场类
30361-腾讯社区产品策划（上海）,1,产品/项目类
25927-游戏测试项目经理,4,产品/项目类
22090-天天快报-IOS开发工程师（北京）,1,技术类
24012-手游后台开发工程师（深圳）,1,技术类
21882-腾讯医典会员产品运营经理（深圳）,1,产品/项目类
21882-积分商城产品运营经理（深圳）,1,产品/项目类
21882-会员生活特权产品运营经理（深圳）,1,产品/项目类
27553-腾讯音乐后台开发工程师（深圳）,1,技术类
24987-3D场景美术（上海）,1,设计类
25663-泛互联网业务高级架构师（武汉）,1,技术类
PCG10-搜索高级算法工程师-图像方向,1,技术类
23518-社交合作运营经理,1,产品/项目类
22851-腾讯视频电影频道运营编辑（北京）,1,内容编辑类
TEG10-开源协同项目经理,1,产品/项目类
21882-算法工程师（深圳）,1,技术类
25928-游戏语音高级产品策划（深圳）,1,产品/项目类
PCG19-腾讯视频iOS开发工程师（北京）,1,技术类
WXG02-116 微信终端测试开发工程师（广州）,1,技术类
WXG02-116 微信小游戏专项测试工程师（广州/深圳）,1,技术类
WXG08-122 微信推荐数据挖掘算法工程师（北京）,2,技术类
22850-腾讯视频VIP后台开发工程师(深圳),1,技术类
22989-腾讯云设计中心-高级交互设计师（深圳）,1,设计类
24546-客厅新媒体运营经理（北京）,1,产品/项目类
25923-移动游戏运维工程师（深圳）,1,技术类
TEG15-java开发高级工程师（深圳）,1,技术类
26381-腾云产品经理（合资公司编制-昆明）,8,产品/项目类
26381-腾云项目经理（合资公司编制-昆明）,5,产品/项目类
26381-腾云架构师（合资公司--昆明）,1,技术类
22989-腾讯云serverless后台开发工程师（深圳）,4,技术类
25928-腾讯游戏云前端开发高级工程师（深圳）,1,技术类
15612-后台游戏开发工程师(深圳）,1,技术类
19332-高级Web前端开发工程师（上海）,1,技术类
PCG04-看点高级测试开发工程师（深圳）,2,技术类
19511-游戏学院高校合作项目经理（深圳）,1,产品/项目类
15571-高级引擎开发工程师,2,技术类
25663-腾讯游戏云高级产品经理（深圳）,2,产品/项目类
TEG05-高级后台系统开发工程师（深圳）,2,技术类
22989-大数据平台研发工程师,1,技术类
21229-沙盒/生存类产品运营策划（上海）,3,产品/项目类
24491-王者荣耀全球版-海外游戏数据分析经理（深圳）,1,产品/项目类
29311-资深创意文案（深圳）,1,市场类
30627-腾讯广告区域业务拓展经理（RGM）-东区,1,市场类
WXG03-211 微信开放平台商业化产品运营经理（广州）,1,产品/项目类
WXG01-117 微信iOS客户端开发工程师（广州）,1,技术类
26381-腾云平台运营总监（合资公司编制-云南）,1,产品/项目类
26381-腾云安卓开发工程师（合资公司编制-云南）,6,技术类
14914-互联网金融传播经理（香港）,1, 
21229-沙盒/生存类产品高级社区运营（上海）,2,产品/项目类
15571-射击游戏关卡策划,1,产品/项目类
HGJ-Legal Counsel (Technology Transactions),1,职能类
26381-腾云市场营销策划经理（合资公司编制-昆明）,3,市场类
26381-腾云交互设计（合资公司编制-云南）,1,设计类
28600-113 微信支付后台开发工程师（广州）,1,技术类
30625-腾讯广告大客户销售经理,1,市场类
26381-腾云技术总监（合资公司编制-昆明）,1,技术类
21087-游戏内外部渠道管理（深圳）,1,产品/项目类
25663-泛互联网解决方案架构师（北/上/深）（北京）,1,技术类
25663-泛互联网解决方案架构师（北/上/深）（上海）,1,技术类
32032-互娱沙盒类手游服务端开发（深圳）   ,1,技术类
29314-合资公司CFO（张家口）,1,职能类
TME-全民K歌产品经理（渠道策略）,1,产品/项目类
25663-泛互联网售中架构师（北/上/深）,1,技术类
25663-泛互联网售中架构师（北/上/深）,1,技术类
25663-泛互联网售中架构师（北/上/深）,1,技术类
25663-泛互联网解决方案架构师（北/上/深）（深圳总部）,1,技术类
21882-腾讯医典高级前端开发（深圳）,1,技术类
22989-iOS开发高级工程师,1,技术类
30359-web前端高级开发工程师,1,技术类
18425-支付平台开发工程师,1,技术类
15618-游戏客户端开发工程师（上海）,1,技术类
PCG04-腾讯视频移动终端测试开发工程师（北京）,1,技术类
PCG04-腾讯视频移动终端测试开发工程师（深圳）,1,技术类
22989-Android开发高级工程师,1,技术类
29777-工业云后台高级开发工程师（杭州）,2,技术类
15569-QQ飞车手游高级角色原画设计师(深圳）,1,设计类
26787-策略分析经理（深圳）,1,市场类
15616-高级技术美术(上海）,2,设计类
21309-儿童英语启蒙产品ABCmouse产品策划经理,1,产品/项目类
21062-叙事向手游客户端开发高级工程师（深圳）,1,技术类
29777-工业云前端高级开发工程师（杭州）,2,技术类
PCG10-NLP/CV算法工程师,1,技术类
27730-短视频个性化推荐算法工程师,1,技术类
27730-分布式数据架构,1,技术类
32032-互娱沙盒类手游客户端开发（深圳）,1,技术类
PCG04-android开发工程师(成都),1,技术类
22989-腾讯云SDN/NFV网络虚拟化研发工程师（深圳）（北京）,1,技术类
15573-新侠风MMORPG 3D场景美术设计师（上海）,1,设计类
TEG03-大数据服务测试工程师（深圳）,1,技术类
15851-游戏图形渲染开发工程师Graphics/Engine Software Engineer,1,技术类
22989-腾讯云企业业务中心前端研发工程师（深圳）,2,技术类
15611-航海王IP动作游戏3D角色设计师（深圳）,1,设计类
15573-新侠风MMORPG资深数值策划（上海）,2,产品/项目类
WXG10-117 企业微信iOS移动客户端开发工程师（成都）,1,技术类
26832-猎聘经理（深圳）,2,职能类
WXG08-113 微信小程序商业化后台工程师（广州）,3,技术类
18428-区块链技术专家工程师（深圳）,2,技术类
18428-区块链应用（高级）开发工程师（深圳）,3,技术类
19511-腾讯游戏学院营运总监（深圳）,1,产品/项目类
25926-自然语言处理算法工程师（深圳）,1,技术类
30620-腾讯广告微信广告高级数据产品经理（深圳）,2,产品/项目类
19511-腾讯游戏战略分析经理（深圳）,1,市场类
